"richness","X","Y"
44,-639302.991783709,-995338.698486359
52,-642225.46909052,-994987.648100522
56,-645147.847329834,-994635.947953264
63,-648070.155429054,-994283.404793525
64,-650992.273898384,-993930.254192091
52,-630210.50700487,-993623.900586872
55,-653914.270800483,-993576.191493452
39,-633131.796541095,-993275.522810409
67,-656836.26474543,-993221.214225092
61,-636052.997807754,-992926.629660789
66,-659758.07674606,-992865.614038047
34,-638974.003124996,-992577.013312907
40,-641894.949544787,-992226.11271374
29,-644815.807239761,-991874.619006275
59,-647736.557595291,-991522.331186147
56,-650657.124414806,-991169.393107783
37,-653577.625703612,-990815.497976572
42,-632805.847428727,-990513.400832919
59,-656498.099289878,-990460.703222684
51,-635725.520255877,-990164.703735246
61,-659418.386535345,-990105.350642787
54,-638644.981212282,-989815.281133134
69,-662338.502925608,-989749.020312507
50,-641564.415663655,-989464.593302676
47,-644483.746218498,-989113.358028394
50,-647402.969540094,-988761.223857212
46,-650322.006047904,-988408.519757143
43,-653241.011364589,-988054.76321117
63,-632479.874078452,-987751.24299186
56,-656159.932373068,-987700.191296726
44,-635397.998147728,-987402.640067512
57,-659078.688347086,-987345.028795478
36,-638315.988621359,-987053.161612345
57,-661997.295086975,-986988.87314823
36,-641233.875849616,-986703.066785766
40,-644151.739222946,-986351.993435227
43,-647069.397914653,-986000.089501253
35,-649986.970883687,-985647.584614435
44,-652904.367943185,-985294.080515939
39,-655821.78104131,-984939.690033651
49,-635070.511067751,-984640.696173971
54,-658739.029419905,-984584.69086372
37,-637987.009737571,-984291.420662671
57,-661656.11186118,-984228.726135042
35,-640903.368301929,-983941.563270344
54,-664573.116003578,-983871.919486085
33,-643819.630668789,-983590.65795177
43,-646735.826547449,-983238.925356427
52,-649651.869335251,-982886.63495691
45,-652567.744981222,-982533.30766894
39,-655483.608520912,-982179.079662975
62,-658399.311898385,-981824.336718391
61,-661314.855440963,-981468.594656615
59,-664230.379347607,-981111.967079673
40,-643487.577782665,-980829.264258104
29,-646402.242107411,-980477.731862957
33,-649316.731967444,-980125.592738548
31,-652231.093197922,-979772.47966329
31,-655145.446954328,-979418.521918116
40,-658059.657298199,-979063.963830189
49,-660973.684655015,-978708.412835294
62,-666801.513133379,-977994.97336886
46,-651894.452140176,-977011.187909937
38,-654807.248491966,-976657.629775463
32,-657719.855346175,-976302.849605546
33,-660632.431367957,-975947.612756989
46,-663544.838093585,-975591.682114724
32,-660291.211827856,-973187.222258851
30,-644944.952049899,-980653.554166364
41,-663717.199694919,-976971.78511608
46,-650437.988148991,-977187.754116491
35,-653350.944583114,-976834.575522822
42,-663887.617913535,-978351.99328144
51,-648981.575643972,-977364.312788506
52,-633612.296991578,-984815.036613344
46,-634743.035501899,-981878.712281993
