FID,nazev,diverzita,HnizdoZem,HnizdoKer,HnizdoStro,std,d00,d01,d02,REKULT,RN,PSRI,SLO,CUR,TWI,X,Y
51,B22,11,3,2,6,2.992,15.5,1.3,14.4,Other,R,0.023492734,7.56,-0.09,4.72,-777089.332989,-988763.309932
52,B23,12,3,7,3,2.037,10,2.1,5.6,None,N,0.061667679,4.66,0.05,4.96,-777367.816796,-988874.875022
53,B24,17,5,8,7,2.468,8.5,10.8,25.3,Forest,R,0.069349015,11.73,-0.21,4.24,-777479.381886,-988596.391214
54,B25,2,2,0,0,1.169,9.7,0.3,0.4,Agri,R,0.049062935,1.86,0.07,5.53,-777200.898078,-988484.826125
55,B26,11,5,4,3,1.418,11.7,9.3,7.7,Forest,R,0.143321546,4.39,-0.11,5.38,-777312.463168,-988206.342318
56,B27,8,3,3,2,1.466,12.3,11.6,9.1,Forest,R,0.098125288,5.5,-0.09,4.86,-777590.946975,-988317.907407
57,B28,18,14,4,1,3.425,19.4,7.4,34.3,None,N,0.144313857,6.64,-0.04,5.26,-777869.430782,-988429.472497
58,B29,5,1,4,1,1.31,32,2.2,5.4,None,N,0.020819994,6.11,0.06,4.83,-778147.914589,-988541.037586
59,B30,12,0,8,6,2.283,23.9,8.2,22.2,None,N,0.016486554,8.82,0.08,4.49,-778426.398396,-988652.602676
60,C01,12,3,5,5,4.844,9.4,6.3,19.7,None,N,0.027375488,8.5,-0.12,4.6,-780154.370533,-986759.427488
61,C02,10,1,5,5,2.618,6.8,9,15.6,None,N,0.037935901,10.78,0.05,4.28,-779875.886726,-986647.862398
62,C03,12,3,7,3,1.47,6.9,35.2,46.7,None,N,0.014784032,4.51,0.07,4.99,-779597.402919,-986536.297309
63,C04,12,3,6,4,2.984,14.5,37.4,32.9,None,N,0.014851897,6.49,-0.04,4.76,-779318.919112,-986424.732219
64,C05,11,6,1,3,3.366,4.3,3.6,7.2,Other,R,0.062928408,4.52,0.03,4.95,-779040.435305,-986313.167130
65,C06,9,5,2,2,2.397,2,0.5,3,Other,R,0.054340475,3.68,0.01,5.23,-778928.870216,-986591.650937
66,C07,4,3,1,0,3.794,2.5,3.2,11,Other,R,0.084573567,8.89,0.13,4.29,-778817.305126,-986870.134744
67,C08,11,4,4,5,2.503,4.3,4.8,33.8,Forest,R,0.047238156,9.06,-0.17,4.61,-778538.821319,-986758.569654
68,C09,11,4,5,3,4.196,7.9,1.6,19.4,Forest,R,0.045372124,11.12,0.17,4.1,-778650.386409,-986480.085847
69,C10,11,6,5,3,2.744,11.9,7.3,16,Forest,R,0.083711219,10.24,-0.04,4.14,-778761.951498,-986201.602040
70,C11,8,3,3,3,2.07,13.8,10.7,8.9,Other,R,0.052782927,7.56,0.06,4.51,-778873.516588,-985923.118233
71,C12,8,2,4,4,3.795,11.4,10.1,21,Other,R,0.04508453,7.03,0.06,4.58,-779152.000395,-986034.683323
72,C13,10,1,4,8,4.665,1.5,1.9,91,None,N,0.017274476,18.55,-0.72,3.92,-779430.484202,-986146.248412
